strategy,optimizer,asset,asset_class,frequency,split,gross_total_return,net_total_return,total_return,annualized_return,annualized_volatility,gross_sharpe,net_sharpe,sharpe,sortino,max_drawdown,calmar,hit_rate,turnover,total_transaction_cost,trade_count,average_trade_pnl,exposure_time,cost_bps,config_source
Strategy1 / Asymmetric Intervals,NES,AAPL,equities,15min,validation,6.349509,5.694289,5.694289,7.195219,21.439487,7.241105,6.495982,6.495982,20.049795,-1.852757,3.883519,0.345865,0.012256,655.220688,133,42.814199,0.258324,1.0,optimized
Strategy1 / Asymmetric Intervals,NES,MSFT,equities,15min,train,29.671226,-2.002411,-2.002411,-0.52332,99.462699,1.769002,0.398118,0.398118,0.735633,-31.04698,-0.016856,0.323651,0.125044,31673.637852,723,-2.769587,0.278287,1.0,optimized
Strategy1 / Asymmetric Intervals,NES,MSFT,equities,15min,validation,-1.01211,-3.546283,-3.546283,-4.341193,40.407718,-0.343956,-1.678688,-1.678688,-3.212119,-12.496679,-0.347388,0.314103,0.047403,2534.173715,156,-22.732586,0.272353,1.0,optimized
Strategy1 / Asymmetric Intervals,NES,NVDA,equities,15min,train,202.645821,174.690578,174.690578,29.895854,155.874366,4.953344,4.443581,4.443581,7.33478,-26.530959,1.126829,0.363793,0.110364,27955.242696,580,301.190652,0.319463,1.0,optimized
Strategy1 / Asymmetric Intervals,NES,NVDA,equities,15min,validation,28.918694,26.465434,26.465434,33.202961,123.338402,5.90633,5.453343,5.453343,12.285472,-10.885688,3.050148,0.364341,0.04589,2453.260684,129,205.1584,0.330902,1.0,optimized
Strategy2 / EMA Filter,NES,GLD,commodities,15min,train,27.925475,3.763319,3.763319,0.960873,57.684968,3.279387,0.699614,0.699614,1.221253,-24.357,0.03945,0.336595,0.063593,24162.155905,511,7.364616,0.266917,1.5,optimized
Strategy2 / EMA Filter,NES,GLD,commodities,15min,validation,1.518561,-1.106829,-1.106829,-1.349335,28.738137,1.496604,-0.835509,-0.835509,-1.356681,-6.54488,-0.206166,0.333333,0.03274,2625.390646,129,-8.580072,0.306023,1.5,optimized
Strategy2 / EMA Filter,NES,USO,commodities,15min,train,-24.267907,-55.751352,-55.751352,-19.003466,137.46527,-0.496838,-2.023966,-2.023966,-3.440419,-68.252299,-0.27843,0.316667,0.082862,31483.444234,720,-77.432433,0.249112,1.5,optimized
Strategy2 / EMA Filter,NES,USO,commodities,15min,validation,-33.105798,-40.28653,-40.28653,-46.929225,98.206354,-8.100611,-9.885804,-9.885804,-12.749953,-46.093693,-1.018127,0.301205,0.089546,7180.731564,166,-242.689938,0.25982,1.5,optimized
Strategy2 / EMA Filter,NES,BTCUSDT,crypto,15min,train,114.544023,3.959619,3.959619,1.007052,113.243429,2.466343,0.620028,0.620028,1.427119,-44.35149,0.022706,0.293591,0.020325,110584.404791,1451,2.728889,0.303277,4.0,optimized
Strategy2 / EMA Filter,NES,BTCUSDT,crypto,15min,validation,89.159635,35.046236,35.046236,44.305457,173.417439,5.329401,2.665059,2.665059,6.151872,-34.486521,1.284718,0.344156,0.046382,54113.398898,308,113.786481,0.329551,4.0,optimized
Strategy2 / EMA Filter,NES,ETHUSDT,crypto,15min,train,11.609257,-25.244648,-25.244648,-7.232341,45.72265,0.775024,-1.094439,-1.094439,-2.159383,-28.158205,-0.256847,0.285624,0.006774,36853.904587,1579,-15.987744,0.314569,4.0,optimized
Strategy2 / EMA Filter,NES,ETHUSDT,crypto,15min,validation,16.487634,5.936547,5.936547,7.217649,61.334501,3.07385,1.293991,1.293991,3.313786,-17.97945,0.401439,0.279743,0.009044,10551.086911,311,19.088577,0.294134,4.0,optimized
Strategy2 / EMA Filter,NES,AAPL,equities,15min,train,13.443165,10.858819,10.858819,2.711816,20.157986,4.582104,3.731791,3.731791,6.158617,-5.365232,0.505442,0.387446,0.010203,2584.345408,462,23.503938,0.261508,1.0,optimized
Strategy2 / EMA Filter,NES,AAPL,equities,15min,validation,2.823881,2.644881,2.644881,3.328925,7.620199,14.391618,13.484818,13.484818,35.295462,-0.387212,8.597166,0.464286,0.003348,179.000197,84,31.486677,0.252525,1.0,optimized
Strategy2 / EMA Filter,NES,MSFT,equities,15min,train,9.482019,1.438212,1.438212,0.371106,43.873898,1.546487,0.423525,0.423525,0.678032,-20.97398,0.017694,0.386233,0.031756,8043.807544,523,2.749927,0.279313,1.0,optimized
Strategy2 / EMA Filter,NES,MSFT,equities,15min,validation,1.55343,0.751868,0.751868,0.93493,23.149912,2.386476,1.219384,1.219384,2.088731,-5.295744,0.176544,0.360825,0.014994,801.561859,97,7.751214,0.249719,1.0,optimized
Strategy2 / EMA Filter,NES,NVDA,equities,15min,train,131.04858,114.584417,114.584417,21.852551,119.637003,5.120436,4.59349,4.59349,7.37677,-21.597268,1.01182,0.372137,0.064999,16464.163171,524,218.672552,0.291196,1.0,optimized
Strategy2 / EMA Filter,NES,NVDA,equities,15min,validation,17.651818,16.381173,16.381173,20.362641,82.268931,6.756521,6.300184,6.300184,12.847472,-5.732912,3.551885,0.417476,0.023768,1270.645059,103,159.040515,0.289749,1.0,optimized
Strategy3 / Exit Confirmation,CMA-ES,GLD,commodities,15min,train,19.408639,-2.82618,-2.82618,-0.739307,112.288579,2.032228,0.331629,0.331629,0.542055,-20.932702,-0.035318,0.418231,0.05852,22234.8187,373,-7.576889,0.483024,1.5,optimized
Strategy3 / Exit Confirmation,CMA-ES,GLD,commodities,15min,validation,14.853445,11.58232,11.58232,14.312741,83.863921,7.090912,5.610047,5.610047,11.171157,-13.686068,1.045789,0.433735,0.040792,3271.124908,83,139.546027,0.52862,1.5,optimized
Strategy3 / Exit Confirmation,CMA-ES,USO,commodities,15min,train,-28.46772,-58.65015,-58.65015,-20.383391,136.354214,-0.804273,-2.316713,-2.316713,-4.049035,-68.78744,-0.296324,0.324895,0.079438,30182.430416,711,-82.489662,0.282511,1.5,optimized
Strategy3 / Exit Confirmation,CMA-ES,USO,commodities,15min,validation,-46.085363,-51.148449,-51.148449,-58.539166,108.438159,-11.952816,-13.260341,-13.260341,-16.328611,-53.687531,-1.090368,0.22293,0.063139,5063.086405,157,-325.7863,0.284699,1.5,optimized
Strategy3 / Exit Confirmation,CMA-ES,BTCUSDT,crypto,15min,train,229.080184,26.094743,26.094743,6.165323,235.451079,2.774045,1.355711,1.355711,3.038235,-65.107837,0.094694,0.30788,0.037308,202985.440976,1231,21.198004,0.33114,4.0,optimized
Strategy3 / Exit Confirmation,CMA-ES,BTCUSDT,crypto,15min,validation,26.712519,2.028649,2.028649,2.480707,124.407322,3.254482,0.81167,0.81167,1.673232,-30.425363,0.081534,0.361538,0.021157,24683.869797,260,7.802497,0.357733,4.0,optimized
Strategy3 / Exit Confirmation,CMA-ES,ETHUSDT,crypto,15min,train,84.903216,-44.237332,-44.237332,-13.989715,240.757834,2.021257,0.357521,0.357521,0.610687,-80.822262,-0.173092,0.364103,0.023735,129140.547778,975,-45.371622,0.441461,4.0,optimized
Strategy3 / Exit Confirmation,CMA-ES,ETHUSDT,crypto,15min,validation,16.662051,6.229249,6.229249,7.572494,124.54966,2.788355,1.433582,1.433582,2.531795,-14.388016,0.526306,0.371134,0.008942,10432.802247,194,32.109529,0.419447,4.0,optimized
Strategy3 / Exit Confirmation,CMA-ES,AAPL,equities,15min,train,128.407204,93.502834,93.502834,18.617165,100.644085,4.76856,3.703743,3.703743,7.158081,-18.502988,1.006171,0.352239,0.137799,34904.370051,670,139.556469,0.309751,1.0,optimized
Strategy3 / Exit Confirmation,CMA-ES,AAPL,equities,15min,validation,22.605092,19.219286,19.219286,24.675785,101.413803,5.524822,4.744468,4.744468,12.070779,-13.749253,1.7947,0.350746,0.063333,3385.806702,134,143.427506,0.298728,1.0,optimized
Strategy3 / Exit Confirmation,CMA-ES,MSFT,equities,15min,train,8.968926,-8.693707,-8.693707,-2.329828,211.044743,1.346483,0.683031,0.683031,1.004683,-53.220434,-0.043777,0.462725,0.06973,17662.632987,389,-22.34886,0.528977,1.0,optimized
Strategy3 / Exit Confirmation,CMA-ES,MSFT,equities,15min,validation,20.728565,18.466735,18.466735,23.422242,104.107128,7.611614,6.832712,6.832712,10.677327,-8.948663,2.617401,0.529412,0.042309,2261.829897,85,217.25571,0.550879,1.0,optimized
Strategy3 / Exit Confirmation,CMA-ES,NVDA,equities,15min,train,100.444732,89.668126,89.668126,18.019245,154.71052,4.658753,4.286661,4.286661,6.356219,-30.966039,0.581903,0.484456,0.042545,10776.605056,386,232.300846,0.535649,1.0,optimized
Strategy3 / Exit Confirmation,CMA-ES,NVDA,equities,15min,validation,8.770588,7.976421,7.976421,9.825284,81.309141,4.474365,4.108478,4.108478,6.220172,-8.820238,1.113948,0.47619,0.014855,794.167524,84,94.957389,0.544332,1.0,optimized
Strategy4 / EMA + Confirmation,CMA-ES,GLD,commodities,15min,train,2.815869,-19.554735,-19.554735,-5.476822,85.432698,0.649694,-1.476713,-1.476713,-2.380424,-34.021589,-0.160981,0.362187,0.058878,22370.60416,439,-44.543816,0.319068,1.5,optimized
Strategy4 / EMA + Confirmation,CMA-ES,GLD,commodities,15min,validation,9.194012,3.509685,3.509685,4.300334,81.162124,3.686531,1.656399,1.656399,2.839938,-14.610213,0.294338,0.392857,0.070886,5684.326959,112,31.33647,0.361953,1.5,optimized
Strategy4 / EMA + Confirmation,CMA-ES,USO,commodities,15min,train,-56.969033,-70.997254,-70.997254,-27.347064,159.25967,-3.229967,-4.193783,-4.193783,-6.250465,-79.409543,-0.34438,0.369863,0.036921,14028.220839,511,-138.937875,0.345717,1.5,optimized
Strategy4 / EMA + Confirmation,CMA-ES,USO,commodities,15min,validation,-26.499175,-29.009911,-29.009911,-34.367535,67.813532,-12.230795,-13.381217,-13.381217,-16.463488,-31.635943,-1.086345,0.297521,0.03131,2510.735237,121,-239.751328,0.356715,1.5,optimized
