strategy,optimizer,asset,asset_class,frequency,selected_by,params_json,train_gross_sharpe,train_net_sharpe,validation_net_sharpe,train_sharpe,validation_sharpe,train_gross_return,train_net_return,validation_net_return,train_return,validation_return,train_max_drawdown,validation_max_drawdown,train_trade_count,validation_trade_count,train_total_cost,validation_total_cost,train_turnover,validation_turnover,cost_bps
Strategy2 / EMA Filter,NES,BTCUSDT,crypto,15min,validation_net_sharpe,"{""ema_period"": 123, ""entry_interval"": 57, ""lookback"": 5, ""vol_target"": 0.013857}",2.466343,0.620028,2.665059,0.620028,2.665059,114.544023,3.959619,35.046236,3.959619,35.046236,-44.35149,-34.486521,1451,308,110584.404791,54113.398898,0.020325,0.046382,4.0
Strategy2 / EMA Filter,NES,ETHUSDT,crypto,15min,validation_net_sharpe,"{""ema_period"": 67, ""entry_interval"": 38, ""lookback"": 5, ""vol_target"": 0.005}",0.775024,-1.094439,1.293991,-1.094439,1.293991,11.609257,-25.244648,5.936547,-25.244648,5.936547,-28.158205,-17.97945,1579,311,36853.904587,10551.086911,0.006774,0.009044,4.0
Strategy2 / EMA Filter,NES,AAPL,equities,15min,validation_net_sharpe,"{""ema_period"": 200, ""entry_interval"": 53, ""lookback"": 22, ""vol_target"": 0.005}",4.582104,3.731791,13.484818,3.731791,13.484818,13.443165,10.858819,2.644881,10.858819,2.644881,-5.365232,-0.387212,462,84,2584.345408,179.000197,0.010203,0.003348,1.0
Strategy2 / EMA Filter,NES,MSFT,equities,15min,validation_net_sharpe,"{""ema_period"": 147, ""entry_interval"": 53, ""lookback"": 5, ""vol_target"": 0.005}",1.546487,0.423525,1.219384,0.423525,1.219384,9.482019,1.438212,0.751868,1.438212,0.751868,-20.97398,-5.295744,523,97,8043.807544,801.561859,0.031756,0.014994,1.0
Strategy2 / EMA Filter,NES,NVDA,equities,15min,validation_net_sharpe,"{""ema_period"": 110, ""entry_interval"": 29, ""lookback"": 23, ""vol_target"": 0.030548}",5.120436,4.59349,6.300184,4.59349,6.300184,131.04858,114.584417,16.381173,114.584417,16.381173,-21.597268,-5.732912,524,103,16464.163171,1270.645059,0.064999,0.023768,1.0
Strategy3 / Exit Confirmation,CMA-ES,GLD,commodities,15min,validation_net_sharpe,"{""entry_interval"": 19, ""exit_confirmation_bars"": 4, ""exit_interval"": 11, ""lookback"": 9, ""vol_target"": 0.023651}",2.032228,0.331629,5.610047,0.331629,5.610047,19.408639,-2.82618,11.58232,-2.82618,11.58232,-20.932702,-13.686068,373,83,22234.8187,3271.124908,0.05852,0.040792,1.5
Strategy3 / Exit Confirmation,CMA-ES,USO,commodities,15min,validation_net_sharpe,"{""entry_interval"": 27, ""exit_confirmation_bars"": 2, ""exit_interval"": 5, ""lookback"": 7, ""vol_target"": 0.021266}",-0.804273,-2.316713,-13.260341,-2.316713,-13.260341,-28.46772,-58.65015,-51.148449,-58.65015,-51.148449,-68.78744,-53.687531,711,157,30182.430416,5063.086405,0.079438,0.063139,1.5
Strategy3 / Exit Confirmation,CMA-ES,BTCUSDT,crypto,15min,validation_net_sharpe,"{""entry_interval"": 27, ""exit_confirmation_bars"": 3, ""exit_interval"": 6, ""lookback"": 9, ""vol_target"": 0.022449}",2.774045,1.355711,0.81167,1.355711,0.81167,229.080184,26.094743,2.028649,26.094743,2.028649,-65.107837,-30.425363,1231,260,202985.440976,24683.869797,0.037308,0.021157,4.0
Strategy3 / Exit Confirmation,CMA-ES,ETHUSDT,crypto,15min,validation_net_sharpe,"{""entry_interval"": 23, ""exit_confirmation_bars"": 4, ""exit_interval"": 11, ""lookback"": 12, ""vol_target"": 0.024939}",2.021257,0.357521,1.433582,0.357521,1.433582,84.903216,-44.237332,6.229249,-44.237332,6.229249,-80.822262,-14.388016,975,194,129140.547778,10432.802247,0.023735,0.008942,4.0
Strategy3 / Exit Confirmation,CMA-ES,AAPL,equities,15min,validation_net_sharpe,"{""entry_interval"": 27, ""exit_confirmation_bars"": 2, ""exit_interval"": 5, ""lookback"": 7, ""vol_target"": 0.021266}",4.76856,3.703743,4.744468,3.703743,4.744468,128.407204,93.502834,19.219286,93.502834,19.219286,-18.502988,-13.749253,670,134,34904.370051,3385.806702,0.137799,0.063333,1.0
Strategy3 / Exit Confirmation,CMA-ES,MSFT,equities,15min,validation_net_sharpe,"{""entry_interval"": 23, ""exit_confirmation_bars"": 4, ""exit_interval"": 11, ""lookback"": 12, ""vol_target"": 0.024939}",1.346483,0.683031,6.832712,0.683031,6.832712,8.968926,-8.693707,18.466735,-8.693707,18.466735,-53.220434,-8.948663,389,85,17662.632987,2261.829897,0.06973,0.042309,1.0
Strategy3 / Exit Confirmation,CMA-ES,NVDA,equities,15min,validation_net_sharpe,"{""entry_interval"": 26, ""exit_confirmation_bars"": 4, ""exit_interval"": 12, ""lookback"": 15, ""vol_target"": 0.025926}",4.658753,4.286661,4.108478,4.286661,4.108478,100.444732,89.668126,7.976421,89.668126,7.976421,-30.966039,-8.820238,386,84,10776.605056,794.167524,0.042545,0.014855,1.0
Strategy4 / EMA + Confirmation,CMA-ES,GLD,commodities,15min,validation_net_sharpe,"{""ema_period"": 62, ""entry_interval"": 35, ""exit_confirmation_bars"": 5, ""exit_interval"": 1, ""lookback"": 14, ""vol_target"": 0.03116}",0.649694,-1.476713,1.656399,-1.476713,1.656399,2.815869,-19.554735,3.509685,-19.554735,3.509685,-34.021589,-14.610213,439,112,22370.60416,5684.326959,0.058878,0.070886,1.5
Strategy4 / EMA + Confirmation,CMA-ES,USO,commodities,15min,validation_net_sharpe,"{""ema_period"": 55, ""entry_interval"": 37, ""exit_confirmation_bars"": 3, ""exit_interval"": 6, ""lookback"": 15, ""vol_target"": 0.020025}",-3.229967,-4.193783,-13.381217,-4.193783,-13.381217,-56.969033,-70.997254,-29.009911,-70.997254,-29.009911,-79.409543,-31.635943,511,121,14028.220839,2510.735237,0.036921,0.03131,1.5
Strategy4 / EMA + Confirmation,CMA-ES,BTCUSDT,crypto,15min,validation_net_sharpe,"{""ema_period"": 112, ""entry_interval"": 29, ""exit_confirmation_bars"": 6, ""exit_interval"": 1, ""lookback"": 17, ""vol_target"": 0.018154}",3.235773,1.689392,0.787933,1.689392,0.787933,322.895703,55.417386,1.905816,55.417386,1.905816,-56.199394,-32.642408,1119,238,267478.316399,20271.231626,0.049161,0.017375,4.0
Strategy4 / EMA + Confirmation,CMA-ES,ETHUSDT,crypto,15min,validation_net_sharpe,"{""ema_period"": 94, ""entry_interval"": 28, ""exit_confirmation_bars"": 6, ""exit_interval"": 1, ""lookback"": 19, ""vol_target"": 0.019506}",-0.008695,-1.318387,5.261647,-1.318387,5.261647,-22.53994,-73.409253,34.146193,-73.409253,34.146193,-76.519678,-11.453561,1188,214,50869.312685,10670.553452,0.00935,0.009146,4.0
Strategy4 / EMA + Confirmation,CMA-ES,AAPL,equities,15min,validation_net_sharpe,"{""ema_period"": 48, ""entry_interval"": 38, ""exit_confirmation_bars"": 1, ""exit_interval"": 11, ""lookback"": 16, ""vol_target"": 0.009704}",4.393477,3.483576,5.168174,3.483576,5.168174,25.615657,19.972432,2.936339,19.972432,2.936339,-10.628395,-2.188143,559,113,5643.225161,439.450639,0.022279,0.00822,1.0
Strategy4 / EMA + Confirmation,CMA-ES,MSFT,equities,15min,validation_net_sharpe,"{""ema_period"": 81, ""entry_interval"": 35, ""exit_confirmation_bars"": 3, ""exit_interval"": 7, ""lookback"": 15, ""vol_target"": 0.012658}",0.442741,-0.21458,3.174279,-0.21458,3.174279,-6.436521,-19.244646,2.103456,-19.244646,2.103456,-48.378683,-4.30338,401,84,12808.125257,697.675357,0.050565,0.01305,1.0
Strategy4 / EMA + Confirmation,CMA-ES,NVDA,equities,15min,validation_net_sharpe,"{""ema_period"": 94, ""entry_interval"": 28, ""exit_confirmation_bars"": 6, ""exit_interval"": 1, ""lookback"": 19, ""vol_target"": 0.019506}",4.181184,3.752193,6.697148,3.752193,6.697148,59.45583,52.314652,10.492819,52.314652,10.492819,-17.146802,-3.227316,451,94,7141.178803,671.751696,0.028193,0.012566,1.0
