strategy,optimizer,asset,asset_class,frequency,iteration,candidate_id,params_json,train_net_sharpe,train_gross_sharpe,train_sharpe,train_net_return,train_return,train_volatility,train_max_drawdown,train_trade_count,train_total_cost,train_turnover,cost_bps,valid
Strategy0 / Baseline,NES,DBC,commodities,15min,2,22,"{""entry_interval"": 56, ""lookback"": 21, ""vol_target"": 0.036102}",-1.89359,0.111765,-1.89359,-31.447148,-31.447148,89.562767,-39.635327,591,27758.40466,0.073061,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,2,23,"{""entry_interval"": 60, ""lookback"": 13, ""vol_target"": 0.042345}",-2.290766,-0.207569,-2.290766,-36.141034,-36.141034,87.572099,-39.572113,616,28265.051151,0.074394,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,2,24,"{""entry_interval"": 50, ""lookback"": 26, ""vol_target"": 0.034553}",-1.352959,0.675038,-1.352959,-25.346111,-25.346111,91.065975,-33.008136,583,29414.078502,0.077419,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,3,25,"{""entry_interval"": 18, ""lookback"": 30, ""vol_target"": 0.026231}",-2.200169,-0.148835,-2.200169,-34.607448,-34.607448,90.866532,-37.405233,578,27453.309833,0.072258,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,3,26,"{""entry_interval"": 29, ""lookback"": 30, ""vol_target"": 0.037936}",-2.200169,-0.148835,-2.200169,-34.607448,-34.607448,90.866532,-37.405233,578,27453.309833,0.072258,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,3,27,"{""entry_interval"": 25, ""lookback"": 27, ""vol_target"": 0.034158}",-1.533398,0.528134,-1.533398,-27.224378,-27.224378,90.198918,-32.243467,583,29204.43563,0.076867,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,3,28,"{""entry_interval"": 26, ""lookback"": 30, ""vol_target"": 0.038884}",-2.200169,-0.148835,-2.200169,-34.607448,-34.607448,90.866532,-37.405233,578,27453.309833,0.072258,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,3,29,"{""entry_interval"": 31, ""lookback"": 30, ""vol_target"": 0.038653}",-2.200169,-0.148835,-2.200169,-34.607448,-34.607448,90.866532,-37.405233,578,27453.309833,0.072258,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,3,30,"{""entry_interval"": 20, ""lookback"": 27, ""vol_target"": 0.026947}",-1.533398,0.528134,-1.533398,-27.224378,-27.224378,90.198918,-32.243467,583,29204.43563,0.076867,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,3,31,"{""entry_interval"": 23, ""lookback"": 30, ""vol_target"": 0.030726}",-2.200169,-0.148835,-2.200169,-34.607448,-34.607448,90.866532,-37.405233,578,27453.309833,0.072258,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,3,32,"{""entry_interval"": 22, ""lookback"": 29, ""vol_target"": 0.026}",-1.761569,0.282969,-1.761569,-30.098719,-30.098719,91.374984,-34.27427,580,28591.670768,0.075254,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,4,33,"{""entry_interval"": 16, ""lookback"": 19, ""vol_target"": 0.014368}",-2.612333,-0.531829,-2.612333,-35.233867,-35.233867,79.91159,-38.335035,592,24793.656733,0.065258,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,4,34,"{""entry_interval"": 11, ""lookback"": 19, ""vol_target"": 0.005}",-2.611946,-0.438984,-2.611946,-12.910008,-12.910008,27.813756,-14.447158,592,10217.210861,0.026892,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,4,35,"{""entry_interval"": 11, ""lookback"": 14, ""vol_target"": 0.009302}",-2.089709,0.038343,-2.089709,-26.0699,-26.0699,67.081579,-28.802521,609,23271.988286,0.061253,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,4,36,"{""entry_interval"": 21, ""lookback"": 22, ""vol_target"": 0.007675}",-2.18852,-0.044423,-2.18852,-16.559384,-16.559384,41.935454,-19.657378,590,14899.851671,0.039217,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,4,37,"{""entry_interval"": 11, ""lookback"": 13, ""vol_target"": 0.013399}",-2.290766,-0.207569,-2.290766,-36.141034,-36.141034,87.572099,-39.572113,616,28265.051151,0.074394,1.5,True
Strategy0 / Baseline,NES,DBC,commodities,15min,4,38,"{""entry_interval"": 16, ""lookback"": 14, ""vol_target"": 0.024333}",-2.089865,-0.012066,-2.089865,-33.505006,-33.505006,87.088026,-36.310556,609,28345.293599,0.074606,1.5,True
