asset,asset_class,strategy,split,final_gross_equity,final_equity,gross_total_return,net_total_return,total_return_pct,gross_sharpe,net_sharpe,sharpe_ratio,max_drawdown_pct,num_trades,win_rate,avg_win_pct,avg_loss_pct,cost_bps,total_transaction_cost,total_turnover,signal_count
BNBUSDT,crypto,Strategy3 / Exit Confirmation,full,79200.73,17831.13,-20.79927,-82.16887,-82.16887,0.005311,-0.428048,-0.428048,-91.539953,2214,0.271454,1.723556,-0.72363,4.0,61369.599435,153423998.586276,4427
BNBUSDT,crypto,Strategy4 / EMA + Confirmation,full,77908.2,16832.02,-22.091798,-83.167985,-83.167985,-0.001294,-0.438041,-0.438041,-92.09922,2181,0.269601,1.74548,-0.730455,4.0,61076.18646,152690466.15052,4361
BTCUSDT,crypto,Strategy0 / Baseline,full,189012.13,46596.17,89.01213,-53.403833,-53.403833,0.695683,-0.313192,-0.313192,-65.318519,2891,0.228641,1.457656,-0.455243,4.0,142415.962156,356039905.390443,5781
BTCUSDT,crypto,Strategy1 / Asymmetric Intervals,full,176061.61,33426.33,76.061605,-66.57367,-66.57367,0.672725,-0.534847,-0.534847,-71.493859,3342,0.194195,1.46972,-0.385957,4.0,142635.275308,356588188.270233,6684
BTCUSDT,crypto,Strategy2 / EMA Filter,full,192244.31,48853.55,92.244307,-51.146452,-51.146452,0.624266,-0.254508,-0.254508,-64.245595,2797,0.228102,1.488505,-0.461786,4.0,143390.759126,358476897.815634,5593
BTCUSDT,crypto,Strategy3 / Exit Confirmation,full,187432.29,67346.56,87.432293,-32.65344,-32.65344,0.445792,-0.053924,-0.053924,-54.965123,2170,0.291705,1.521659,-0.63517,4.0,120085.733438,300214333.594652,4339
BTCUSDT,crypto,Strategy4 / EMA + Confirmation,full,200571.76,75146.33,100.571757,-24.85367,-24.85367,0.472752,-0.009045,-0.009045,-51.124738,2128,0.292763,1.534023,-0.636522,4.0,125425.427053,313563567.631697,4255
ETHUSDT,crypto,Strategy0 / Baseline,full,141071.81,63053.17,41.071805,-36.946829,-36.946829,0.409162,-0.195225,-0.195225,-58.26035,2916,0.246914,1.131067,-0.384502,4.0,78018.634405,195046586.012051,5831
ETHUSDT,crypto,Strategy1 / Asymmetric Intervals,full,144345.69,57237.4,44.34569,-42.762596,-42.762596,0.530618,-0.315847,-0.315847,-57.499219,3356,0.216925,1.100435,-0.320192,4.0,87108.286183,217770715.457763,6711
ETHUSDT,crypto,Strategy2 / EMA Filter,full,138621.96,62839.34,38.621961,-37.160661,-37.160661,0.396092,-0.202177,-0.202177,-57.423157,2852,0.245091,1.148411,-0.38703,4.0,75782.622144,189456555.361015,5703
