timestamp,open,high,low,close,volume,asset,asset_class,frequency,source_file
2017-01-03 00:00:00+00:00,194.2951630733348,194.9772411201012,193.29365159666256,194.4678497314453,91366500,SPY,equities,1day,data/1day/spy_daily.csv
2017-01-04 00:00:00+00:00,194.79596555681337,195.77159004486924,194.78733649178588,195.62481689453125,78744400,SPY,equities,1day,data/1day/spy_daily.csv
2017-01-05 00:00:00+00:00,195.3571145832252,195.6247604374313,194.67503659269232,195.46934509277344,78379000,SPY,equities,1day,data/1day/spy_daily.csv
2017-01-06 00:00:00+00:00,195.58161075861804,196.6349361687553,195.03767675239263,196.1687164306641,71559900,SPY,equities,1day,data/1day/spy_daily.csv
2017-01-09 00:00:00+00:00,195.90974370713727,196.0478877992009,195.4866823654972,195.52122497558597,46939700,SPY,equities,1day,data/1day/spy_daily.csv
2017-01-10 00:00:00+00:00,195.5384831064846,196.3759635501698,195.13269306988883,195.52122497558597,63771900,SPY,equities,1day,data/1day/spy_daily.csv
2017-01-11 00:00:00+00:00,195.434839320652,196.07374572753903,194.7700325488776,196.07374572753903,74650000,SPY,equities,1day,data/1day/spy_daily.csv
2017-01-12 00:00:00+00:00,195.55570364013693,195.77154878764264,194.22610332812465,195.58160400390625,72113200,SPY,equities,1day,data/1day/spy_daily.csv
2017-01-13 00:00:00+00:00,195.75430571982696,196.33276921767424,195.71977628786863,196.0305938720703,62717900,SPY,equities,1day,data/1day/spy_daily.csv
2017-01-17 00:00:00+00:00,195.3917055249708,195.7974955523788,194.9513860624016,195.33990478515625,61240800,SPY,equities,1day,data/1day/spy_daily.csv
2017-01-18 00:00:00+00:00,195.59022969275696,195.81471707374104,195.03766665164105,195.77154541015625,54793300,SPY,equities,1day,data/1day/spy_daily.csv
2017-01-19 00:00:00+00:00,195.84924804240805,195.9873920973104,194.61462013384144,195.0463104248047,66608800,SPY,equities,1day,data/1day/spy_daily.csv
2017-01-20 00:00:00+00:00,195.7283968485233,196.25505958847907,195.09813264304947,195.762939453125,129168600,SPY,equities,1day,data/1day/spy_daily.csv
2017-01-23 00:00:00+00:00,195.7629293658233,195.8233591595471,194.49375878205151,195.25352478027344,75061600,SPY,equities,1day,data/1day/spy_daily.csv
2017-01-24 00:00:00+00:00,195.4693648574696,196.91985113299532,195.35713433657327,196.50543212890625,95555300,SPY,equities,1day,data/1day/spy_daily.csv
2017-01-25 00:00:00+00:00,197.45514871677423,198.206298828125,197.2911042881558,198.206298828125,84437700,SPY,equities,1day,data/1day/spy_daily.csv
2017-01-26 00:00:00+00:00,198.0594837402296,198.3271427646296,197.72276586826823,197.99905395507807,59970700,SPY,equities,1day,data/1day/spy_daily.csv
