timestamp,open,high,low,close,volume,asset,asset_class,frequency,source_file
2020-08-11 13:30:00+00:00,155.66,155.96,154.56,155.62,4606180,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 13:45:00+00:00,155.61,156.3,155.3,155.67,1615880,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 14:00:00+00:00,155.77,155.89,154.88,155.36,1207660,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 14:15:00+00:00,155.38,156.07,155.28,155.94,853160,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 14:30:00+00:00,155.96,156.63,155.4,156.49,845900,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 14:45:00+00:00,156.49,156.56,155.84,156.18,652740,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 15:00:00+00:00,156.17,157.45,156.15,157.4,849060,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 15:15:00+00:00,157.41,157.96,156.9,157.85,1391720,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 15:30:00+00:00,157.92,157.92,157.22,157.36,588820,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 15:45:00+00:00,157.35,157.57,156.62,156.77,605160,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 16:00:00+00:00,156.79,157.29,156.66,157.24,339540,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 16:15:00+00:00,157.22,157.9,157.18,157.61,608000,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 16:30:00+00:00,157.59,157.8,157.35,157.71,255500,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 16:45:00+00:00,157.74,157.83,157.02,157.16,627680,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 17:00:00+00:00,157.15,157.22,156.74,156.75,551960,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 17:15:00+00:00,156.78,157.32,156.66,157.16,535660,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 17:30:00+00:00,157.13,157.13,156.57,156.65,365900,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 17:45:00+00:00,156.67,156.89,156.43,156.76,566400,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 18:00:00+00:00,156.8,156.8,155.85,155.85,546500,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 18:15:00+00:00,155.89,156.15,155.48,155.51,794040,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 18:30:00+00:00,155.55,156.13,155.15,156.06,1044080,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 18:45:00+00:00,156.03,156.2,155.6,156.09,536500,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 19:00:00+00:00,155.99,156.04,155.25,155.43,622480,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 19:15:00+00:00,155.43,155.59,154.86,155.57,978580,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 19:30:00+00:00,155.56,155.56,154.63,154.7,1597700,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-11 19:45:00+00:00,154.67,154.73,153.65,154.03,3939480,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 13:30:00+00:00,155.4,156.21,155.07,155.69,3250680,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 13:45:00+00:00,155.75,157.78,155.75,157.58,3272820,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 14:00:00+00:00,157.6,157.75,157.02,157.34,1450800,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 14:15:00+00:00,157.34,157.79,156.8,157.24,1451900,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 14:30:00+00:00,157.26,157.34,156.5,156.76,750640,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 14:45:00+00:00,156.84,157.44,156.75,157.19,899820,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 15:00:00+00:00,157.26,157.54,157.08,157.47,691860,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 15:15:00+00:00,157.41,157.75,157.37,157.57,666340,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 15:30:00+00:00,157.6,157.7,157.0,157.48,562800,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 15:45:00+00:00,157.48,157.73,157.27,157.63,568920,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 16:00:00+00:00,157.62,158.26,157.6,158.15,1008980,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 16:15:00+00:00,158.24,158.44,158.0,158.17,710000,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 16:30:00+00:00,158.16,158.48,158.11,158.32,494640,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 16:45:00+00:00,158.25,158.35,157.51,157.69,707180,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 17:00:00+00:00,157.67,158.09,157.6,158.09,513540,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 17:15:00+00:00,158.0,158.02,157.49,157.6,463200,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 17:30:00+00:00,157.59,158.12,157.49,158.12,456440,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 17:45:00+00:00,158.1,158.45,158.04,158.38,362640,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 18:00:00+00:00,158.38,158.48,158.23,158.43,408080,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 18:15:00+00:00,158.4,158.72,158.34,158.34,874700,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 18:30:00+00:00,158.3,158.39,157.95,158.0,558440,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 18:45:00+00:00,157.98,158.0,157.66,157.9,551860,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 19:00:00+00:00,157.87,158.05,157.69,158.0,513280,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 19:15:00+00:00,157.97,158.45,157.8,157.87,733520,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 19:30:00+00:00,157.96,158.15,157.33,158.1,723600,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-12 19:45:00+00:00,158.11,158.25,157.75,158.05,1376840,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-13 13:30:00+00:00,159.15,160.0,158.86,159.68,2846400,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-13 13:45:00+00:00,159.7,160.39,159.38,160.26,1804240,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-13 14:00:00+00:00,160.2,160.56,159.94,160.26,1463080,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-13 14:15:00+00:00,160.23,160.72,159.77,160.7,1648840,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-13 14:30:00+00:00,160.74,160.88,160.42,160.5,1043280,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-13 14:45:00+00:00,160.48,160.68,160.11,160.48,737280,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-13 15:00:00+00:00,160.44,160.72,160.37,160.5,467040,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-13 15:15:00+00:00,160.42,160.6,160.23,160.3,514620,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-13 15:30:00+00:00,160.3,160.31,159.6,159.8,842840,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-13 15:45:00+00:00,159.86,160.1,159.73,159.78,563720,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-13 16:00:00+00:00,159.84,160.3,159.76,160.3,683300,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
2020-08-13 16:15:00+00:00,160.26,160.29,160.04,160.21,279180,AMZN,equities,15min,15min/equities/AMZN_15mins_2016-02-26_2026-03-01.csv
