Date,Close,High,Low,Open,Volume
2017-01-03,194.4678497314453,194.97724112010118,193.29365159666258,194.2951630733348,91366500
2017-01-04,195.62481689453125,195.77159004486924,194.78733649178588,194.79596555681337,78744400
2017-01-05,195.46934509277344,195.6247604374313,194.67503659269232,195.3571145832252,78379000
2017-01-06,196.16871643066406,196.6349361687553,195.03767675239263,195.58161075861804,71559900
2017-01-09,195.52122497558594,196.0478877992009,195.48668236549716,195.90974370713732,46939700
2017-01-10,195.52122497558594,196.3759635501698,195.13269306988883,195.5384831064846,63771900
2017-01-11,196.07374572753906,196.07374572753906,194.7700325488776,195.43483932065197,74650000
2017-01-12,195.58160400390625,195.77154878764264,194.22610332812465,195.55570364013695,72113200
2017-01-13,196.0305938720703,196.33276921767424,195.71977628786865,195.75430571982696,62717900
2017-01-17,195.33990478515625,195.7974955523788,194.9513860624016,195.3917055249708,61240800
2017-01-18,195.77154541015625,195.81471707374104,195.03766665164105,195.59022969275696,54793300
2017-01-19,195.0463104248047,195.98739209731042,194.61462013384144,195.84924804240805,66608800
2017-01-20,195.762939453125,196.25505958847907,195.09813264304947,195.72839684852326,129168600
2017-01-23,195.25352478027344,195.8233591595471,194.49375878205151,195.7629293658233,75061600
2017-01-24,196.50543212890625,196.91985113299535,195.35713433657327,195.46936485746957,95555300
2017-01-25,198.206298828125,198.206298828125,197.2911042881558,197.45514871677426,84437700
2017-01-26,197.99905395507812,198.3271427646296,197.72276586826825,198.0594837402296,59970700
2017-01-27,197.688232421875,198.22352411150052,197.50691672182785,198.07675100867226,59711100
2017-01-30,196.4622344970703,197.02342654980666,195.47798125860876,196.99752618885827,79737300
2017-01-31,196.4449920654297,196.50543503261844,195.4003088892889,195.97013008802804,75880800
2017-02-01,196.52273559570312,197.36021603464965,195.93564296897333,196.44503448466165,79117700
2017-02-02,196.6522216796875,196.93713888571978,195.83201266640026,196.52270667286717,69657600
2017-02-03,198.00767517089844,198.18899086744995,197.24790931056123,197.55872680883482,80563200
2017-02-06,197.65374755859375,197.9991077609571,197.31702959512992,197.6019468217754,57790100
2017-02-07,197.66233825683594,198.2839732848533,197.47239348860057,198.04222779330667,57931200
2017-02-08,197.92137145996094,198.05087327897783,197.11842065962912,197.66235464778478,51566200
2017-02-09,199.0955810546875,199.39775637450677,197.92138285613618,197.92138285613618,65955200
2017-02-10,199.88128662109375,200.10577406319265,199.11287822700316,199.44096715059655,66015900
2017-02-13,200.96908569335938,201.22810248207932,200.3474506700879,200.37335103154578,55182100
2017-02-14,201.77212524414062,201.7807674850894,200.44252437866203,200.7878714887701,71109000
2017-02-15,202.82534790039062,203.01529266658943,201.50437677355242,201.55617749630827,86785800
2017-02-16,202.6527099609375,203.0325995599349,201.90157300101112,202.85128382436127,84722400
2017-02-17,202.9721221923828,202.9721221923828,201.97059763278025,201.9878689318468,77204100
2017-02-21,204.180908203125,204.35358170974862,203.33478562462432,203.34342786314915,88946100
2017-02-22,203.9995574951172,204.22403169784153,203.61103887826502,203.77508329239282,62115200
2017-02-23,204.13772583007812,204.53487355707574,203.3779466317962,204.5176154292191,74615900
2017-02-24,204.39675903320312,204.43991753044466,203.2484610798872,203.29163275127317,82381600
2017-02-27,204.71620178222656,204.88887529033158,204.06003718176973,204.3104117924004,56515400
2017-02-28,204.16360473632812,204.57802372176616,203.77508611409613,204.33627821574882,96961900
2017-03-01,207.02139282226562,207.48762570939044,205.80402305205783,205.82129435228447,149158200
2017-03-02,205.71768188476562,206.84007920484513,205.66588116100127,206.8314369681235,70246000
2017-03-03,205.84719848632812,206.01124290613103,205.25146377194582,205.63135333903844,81974300
2017-03-06,205.23422241210938,205.5881984702343,204.62984541100997,205.05290667695087,55391500
2017-03-07,204.62124633789062,205.2860532320529,204.4140302065017,204.93206394790133,65103700
2017-03-08,204.2412872314453,205.1737397443952,204.10314319082886,204.91472296177454,78168800
2017-03-09,204.50033569335938,204.82842454711275,203.5333536075299,204.3621916313429,90683900
2017-03-10,205.21694946289062,205.50186665919932,204.267225475195,205.45869499173256,81991700
2017-03-13,205.32052612304688,205.36369778529854,204.82840606097443,205.1564817109755,57256800
2017-03-14,204.5348663330078,204.8284257600669,203.9218734621619,204.77661185589673,59880800
2017-03-15,206.3048095703125,206.72787084357762,204.87159448861624,205.10471095952914,96081800
2017-03-16,205.8990020751953,206.52063716195985,205.57092640517246,206.4429360696499,78344000
2017-03-17,205.5374298095703,206.35254049942546,205.5374298095703,206.16176934939736,89002100
2017-03-20,205.31198120117188,205.82358873104448,204.9217722924802,205.53743200294863,52537000
2017-03-21,202.6759033203125,206.04039871622197,202.5458380782888,205.91900007984685,131809300
2017-03-22,203.1527557373047,203.43891239483597,202.08618145483652,202.71052084736766,97569200
2017-03-23,202.93600463867188,204.07195161988832,202.56314220179587,203.15278881772713,100410300
2017-03-24,202.78857421875,203.811789098104,202.00815653895305,203.23948897426524,112504900
2017-03-27,202.58047485351562,202.8406185139592,200.83753482201902,201.115011690091,87454500
2017-03-28,204.05462646484375,204.47951500442747,202.16426146852515,202.27699348014863,93483900
2017-03-29,204.245361328125,204.47949192913052,203.54298275656367,203.76844675436723,61950400
2017-03-30,204.89576721191406,205.095218220632,204.01129712243826,204.18472185185752,56737900
2017-03-31,204.41883850097656,205.0865243250438,204.36679917740523,204.55757033612667,73733100
2017-04-03,204.06329345703125,204.67028653720263,202.83196085683875,204.47084878902993,85546500
2017-04-04,204.19334411621094,204.28006307781868,203.39557994895193,203.77712220969664,56466200
2017-04-05,203.58633422851562,205.84956133200993,203.3782166767564,204.86969271906057,108800600
2017-04-06,204.15872192382812,204.67899614552016,203.28290515207158,203.72515345668833,69135800
2017-04-07,203.95053100585938,204.6442429502869,203.46493661419655,203.90717152843487,74412300
2017-04-10,204.07188415527344,204.86964808268726,203.54293040398852,204.089230588671,67615300
2017-04-11,203.82916259765625,203.93321477372265,202.33768632723948,203.69041754192986,88045300
2017-04-12,202.93600463867188,203.7424486651146,202.7105538557787,203.55167752902952,81864400
2017-04-13,201.61795043945312,203.33489064134773,201.61795043945312,202.59781914979595,92880400
2017-04-17,203.40431213378906,203.40431213378906,201.93884863306312,202.13828641834283,68405400
2017-04-18,202.7972412109375,203.3348749236641,202.11220908904167,202.66717600787345,83225800
2017-04-19,202.4243927001953,203.7337643495707,202.198928690804,203.3609019208942,68699900
2017-04-20,204.07188415527344,204.5141322024743,202.71915344220426,203.03998968707398,92572200
2017-04-21,203.42161560058594,204.04595514547796,203.02274008835104,203.99392905531317,110389800
2017-04-24,205.65882873535156,205.8669463260892,203.39560120797648,205.66749533983582,119209900
2017-04-25,206.85546875,207.20231814801264,206.2137828090746,206.30050177430596,76698300
2017-04-26,206.72540283203125,207.70527162641977,206.6820565782447,206.82078840698463,84702500
2017-04-27,206.89881896972656,207.20230887153625,206.3611852259836,207.0462306188551,57410300
2017-04-28,206.44790649414062,207.18496474801913,206.31782805066376,207.15895170561492,63532800
2017-05-01,206.9681854248047,207.39308717979222,206.55196350512594,206.9681854248047,66882500
2017-05-02,207.0462188720703,207.22831015653398,206.63866359347344,207.10691155640652,57375700
2017-05-03,206.7947998046875,207.14166249617847,206.11843409560353,207.0462769099508,73137700
2017-05-04,207.0375518798828,207.1762969261933,206.1877616262789,207.0982577994396,61462700
2017-05-05,207.85264587402344,207.8699923112897,206.9681628138105,207.41041095964437,62001300
2017-05-08,207.8179931640625,208.04344395192322,207.39309140042783,207.8960322946924,48385700
2017-05-09,207.627197265625,208.27754973957022,207.28033467398123,208.07811201903442,51363200
2017-05-10,208.00006103515625,208.00006103515625,207.3757215975435,207.58383915389945,54293800
2017-05-11,207.57522583007812,207.73998395055054,206.49130475482116,207.54921278278863,62358300
2017-05-12,207.22830200195312,207.6185108276182,206.9594917716384,207.32368755768942,53912700
2017-05-15,208.37290954589844,208.4943081301066,207.6358382072719,207.653184642574,61918900
2017-05-16,208.18215942382812,208.69376684942557,207.79195059466826,208.66775380957856,51241800
2017-05-17,204.48818969726562,208.18218739791666,204.42748377516224,208.18218739791666,172174100
2017-05-18,205.31198120117188,206.16177154943827,204.15000784820333,204.41015153115023,107047700
2017-05-19,206.64732360839844,207.3150225035401,205.74550735498167,205.79753343459836,115011400
2017-05-22,207.69659423828125,207.8613523347789,207.08960117075563,207.15896046579584,61010600
2017-05-23,208.1562042236328,208.32096234274778,207.6879429133631,208.06948524574335,48341700
2017-05-24,208.64178466796875,208.7458368492494,208.05212476731114,208.39032081938808,46927700
2017-05-25,209.6389617919922,209.9164518843952,208.94526302389642,209.1533673617428,64071700
2017-05-26,209.59564208984375,209.76038696768669,209.3701780533452,209.448217189922,46629900
2017-05-30,209.4135284423828,209.66499228202534,209.11870511826206,209.2747833846353,35201900
2017-05-31,209.3614959716797,209.74303825312643,208.6677839355453,209.70834537401862,91796000
2017-06-01,211.02638244628906,211.0437288846533,209.53490630190274,209.82106299336175,68962000
