strategy,config_source,optimizer,asset,asset_class,frequency,split,cost_bps,gross_total_return,net_total_return,annualized_return,annualized_volatility,net_sharpe,sortino,max_drawdown,calmar,hit_rate,turnover,total_transaction_cost,trade_count,average_trade_pnl,exposure_time,params_json,selected_by
Strategy2 / EMA Filter,optimized,NES,BTCUSDT,crypto,15min,validation,4.0,64.59738,28.846863,36.260349,117.995669,2.835313,6.543678,-23.662974,1.532366,0.347267,0.030643,35750.517255,311,92.755185,0.331025,"{""ema_period"": 90, ""entry_interval"": 31, ""lookback"": 5, ""vol_target"": 0.009452}",validation_net_sharpe
Strategy2 / EMA Filter,optimized,NES,AAPL,equities,15min,train,1.0,13.443165,10.858819,2.711816,20.157986,3.731791,6.158617,-5.365232,0.505442,0.387446,0.010203,2584.345408,462,23.503938,0.261508,"{""ema_period"": 200, ""entry_interval"": 53, ""lookback"": 22, ""vol_target"": 0.005}",validation_net_sharpe
Strategy2 / EMA Filter,optimized,NES,AAPL,equities,15min,validation,1.0,2.823881,2.644881,3.328925,7.620199,13.484818,35.295462,-0.387212,8.597166,0.464286,0.003348,179.000197,84,31.486677,0.252525,"{""ema_period"": 200, ""entry_interval"": 53, ""lookback"": 22, ""vol_target"": 0.005}",validation_net_sharpe
Strategy3 / Exit Confirmation,optimized,CMA-ES,GLD,commodities,15min,train,1.5,-5.333362,-26.590005,-7.689398,104.80193,-1.859593,-2.790619,-27.630996,-0.278289,0.413793,0.055946,21256.642506,406,-65.492622,0.424398,"{""entry_interval"": 24, ""exit_confirmation_bars"": 3, ""exit_interval"": 7, ""lookback"": 8, ""vol_target"": 0.021964}",validation_net_sharpe
Strategy3 / Exit Confirmation,optimized,CMA-ES,GLD,commodities,15min,validation,1.5,14.064742,11.000672,13.585831,65.171545,6.259723,12.105123,-10.027817,1.354814,0.426966,0.03821,3064.070048,89,123.603055,0.476618,"{""entry_interval"": 24, ""exit_confirmation_bars"": 3, ""exit_interval"": 7, ""lookback"": 8, ""vol_target"": 0.021964}",validation_net_sharpe
Strategy3 / Exit Confirmation,optimized,CMA-ES,BTCUSDT,crypto,15min,train,4.0,-27.040274,-87.33273,-41.322701,307.548251,-0.846971,-1.534083,-94.532804,-0.437126,0.347644,0.011081,60292.455756,955,-91.447885,0.421501,"{""entry_interval"": 19, ""exit_confirmation_bars"": 4, ""exit_interval"": 11, ""lookback"": 9, ""vol_target"": 0.023651}",validation_net_sharpe
Strategy3 / Exit Confirmation,optimized,CMA-ES,BTCUSDT,crypto,15min,validation,4.0,33.192073,12.12312,14.977621,154.910101,1.976224,3.544526,-26.294012,0.569621,0.447236,0.018059,21068.952885,199,60.920202,0.442246,"{""entry_interval"": 19, ""exit_confirmation_bars"": 4, ""exit_interval"": 11, ""lookback"": 9, ""vol_target"": 0.023651}",validation_net_sharpe
Strategy3 / Exit Confirmation,optimized,CMA-ES,AAPL,equities,15min,train,1.0,23.785352,18.088446,4.394001,31.996974,3.144104,5.314972,-10.127334,0.433875,0.38704,0.022491,5696.906031,571,31.67854,0.317608,"{""entry_interval"": 38, ""exit_confirmation_bars"": 1, ""exit_interval"": 11, ""lookback"": 16, ""vol_target"": 0.009704}",validation_net_sharpe
Strategy3 / Exit Confirmation,optimized,CMA-ES,AAPL,equities,15min,validation,1.0,3.386945,2.936119,3.697371,16.753843,4.985916,9.485062,-2.232004,1.656525,0.362069,0.008433,450.826233,116,25.311367,0.293678,"{""entry_interval"": 38, ""exit_confirmation_bars"": 1, ""exit_interval"": 11, ""lookback"": 16, ""vol_target"": 0.009704}",validation_net_sharpe
Strategy4 / EMA + Confirmation,optimized,CMA-ES,GLD,commodities,15min,train,1.5,2.815869,-19.554735,-5.476822,85.432698,-1.476713,-2.380424,-34.021589,-0.160981,0.362187,0.058878,22370.60416,439,-44.543816,0.319068,"{""ema_period"": 62, ""entry_interval"": 35, ""exit_confirmation_bars"": 5, ""exit_interval"": 1, ""lookback"": 14, ""vol_target"": 0.03116}",validation_net_sharpe
Strategy4 / EMA + Confirmation,optimized,CMA-ES,GLD,commodities,15min,validation,1.5,9.194012,3.509685,4.300334,81.162124,1.656399,2.839938,-14.610213,0.294338,0.392857,0.070886,5684.326959,112,31.33647,0.361953,"{""ema_period"": 62, ""entry_interval"": 35, ""exit_confirmation_bars"": 5, ""exit_interval"": 1, ""lookback"": 14, ""vol_target"": 0.03116}",validation_net_sharpe
Strategy4 / EMA + Confirmation,optimized,CMA-ES,BTCUSDT,crypto,15min,train,4.0,246.962987,5.770773,1.458151,277.315218,1.335812,3.000934,-68.950875,0.021148,0.314848,0.04433,241192.214292,1118,5.161693,0.327655,"{""ema_period"": 94, ""entry_interval"": 28, ""exit_confirmation_bars"": 6, ""exit_interval"": 1, ""lookback"": 19, ""vol_target"": 0.019506}",validation_net_sharpe
Strategy4 / EMA + Confirmation,optimized,CMA-ES,BTCUSDT,crypto,15min,validation,4.0,27.736952,4.340643,5.323438,123.726994,1.072015,1.982618,-29.781548,0.17875,0.382716,0.020054,23396.308665,243,17.862729,0.35643,"{""ema_period"": 94, ""entry_interval"": 28, ""exit_confirmation_bars"": 6, ""exit_interval"": 1, ""lookback"": 19, ""vol_target"": 0.019506}",validation_net_sharpe
Strategy4 / EMA + Confirmation,optimized,CMA-ES,AAPL,equities,15min,train,1.0,30.451624,23.045511,5.530589,57.436015,2.918526,4.529893,-16.723041,0.330717,0.433333,0.029239,7406.113333,450,51.212246,0.339834,"{""ema_period"": 116, ""entry_interval"": 31, ""exit_confirmation_bars"": 5, ""exit_interval"": 3, ""lookback"": 15, ""vol_target"": 0.015598}",validation_net_sharpe
Strategy4 / EMA + Confirmation,optimized,CMA-ES,AAPL,equities,15min,validation,1.0,6.112612,5.527481,6.981976,32.995485,6.272729,11.752494,-2.125299,3.285174,0.397727,0.010945,585.131318,88,62.81228,0.331837,"{""ema_period"": 116, ""entry_interval"": 31, ""exit_confirmation_bars"": 5, ""exit_interval"": 3, ""lookback"": 15, ""vol_target"": 0.015598}",validation_net_sharpe
