strategy,optimizer,asset,asset_class,frequency,split,gross_total_return,net_total_return,total_return,annualized_return,annualized_volatility,gross_sharpe,net_sharpe,sharpe,sortino,max_drawdown,calmar,hit_rate,turnover,total_transaction_cost,trade_count,average_trade_pnl,exposure_time,cost_bps,config_source
Strategy1 / Asymmetric Intervals,NES,AAPL,equities,15min,validation,14.379639,12.988666,12.988666,16.554454,58.620618,7.464221,6.762744,6.762744,12.618857,-6.628953,2.497295,0.40566,0.026019,1390.972691,106,122.534586,0.290685,1.0,optimized
Strategy2 / EMA Filter,NES,GLD,commodities,15min,train,6.926671,-28.534691,-28.534691,-8.329386,63.315967,0.836782,-2.076786,-2.076786,-3.690455,-37.561133,-0.221755,0.269601,0.093332,35461.362645,727,-39.249919,0.257837,1.5,baseline
Strategy2 / EMA Filter,NES,GLD,commodities,15min,validation,-0.050627,-5.503955,-5.503955,-6.676263,32.527929,0.126737,-3.114555,-3.114555,-4.789126,-11.20639,-0.595755,0.316092,0.068005,5453.327505,174,-31.631925,0.29349,1.5,baseline
Strategy2 / EMA Filter,NES,GLD,commodities,15min,train,0.848626,-37.381235,-37.381235,-11.411951,62.088962,0.314987,-2.721841,-2.721841,-4.542963,-42.245001,-0.270137,0.287117,0.100618,38229.861923,815,-45.866547,0.283182,1.5,optimized
Strategy2 / EMA Filter,NES,GLD,commodities,15min,validation,12.705526,3.844045,3.844045,4.71138,49.058204,4.562573,1.552553,1.552553,2.902149,-8.379186,0.562272,0.319588,0.110506,8861.481551,194,19.814664,0.323793,1.5,optimized
Strategy2 / EMA Filter,NES,BTCUSDT,crypto,15min,train,94.668911,-72.283709,-72.283709,-28.185535,195.98437,1.594367,-0.211544,-0.211544,-0.559365,-79.426263,-0.354864,0.223602,0.030685,166952.619867,1932,-37.413928,0.283927,4.0,baseline
Strategy2 / EMA Filter,NES,BTCUSDT,crypto,15min,validation,25.525817,-12.177154,-12.177154,-14.656576,102.300568,2.503454,-0.511894,-0.511894,-1.209582,-34.341324,-0.426791,0.270531,0.032316,37702.971489,414,-29.413416,0.311174,4.0,baseline
Strategy2 / EMA Filter,NES,BTCUSDT,crypto,15min,train,82.461354,5.760632,5.760632,1.455706,77.058455,2.477019,0.5357,0.5357,1.226127,-31.274969,0.046545,0.294237,0.014097,76700.722174,1475,3.905513,0.305012,4.0,optimized
Strategy2 / EMA Filter,NES,BTCUSDT,crypto,15min,validation,64.59738,28.846863,28.846863,36.260349,117.995669,5.537907,2.835313,2.835313,6.543678,-23.662974,1.532366,0.347267,0.030643,35750.517255,311,92.755185,0.331025,4.0,optimized
Strategy2 / EMA Filter,NES,AAPL,equities,15min,train,46.555634,30.361482,30.361482,7.093374,51.564777,3.551369,2.444137,2.444137,4.760961,-11.056265,0.641571,0.345455,0.063933,16194.152178,770,39.430496,0.297276,1.0,baseline
Strategy2 / EMA Filter,NES,AAPL,equities,15min,validation,4.342128,2.970639,2.970639,3.740731,30.112153,2.968383,2.07551,2.07551,5.414707,-4.671386,0.800775,0.319277,0.025654,1371.488483,166,17.895418,0.285821,1.0,baseline
Strategy2 / EMA Filter,NES,AAPL,equities,15min,train,13.443165,10.858819,10.858819,2.711816,20.157986,4.582104,3.731791,3.731791,6.158617,-5.365232,0.505442,0.387446,0.010203,2584.345408,462,23.503938,0.261508,1.0,optimized
Strategy2 / EMA Filter,NES,AAPL,equities,15min,validation,2.823881,2.644881,2.644881,3.328925,7.620199,14.391618,13.484818,13.484818,35.295462,-0.387212,8.597166,0.464286,0.003348,179.000197,84,31.486677,0.252525,1.0,optimized
Strategy3 / Exit Confirmation,CMA-ES,GLD,commodities,15min,train,-2.778126,-33.547315,-33.547315,-10.038478,76.997852,0.100209,-2.37407,-2.37407,-3.933299,-40.525911,-0.247705,0.33122,0.080982,30769.18873,631,-53.165317,0.360087,1.5,baseline
Strategy3 / Exit Confirmation,CMA-ES,GLD,commodities,15min,validation,2.975414,-2.101289,-2.101289,-2.558667,42.329162,1.678002,-0.818639,-0.818639,-1.32191,-10.744653,-0.238134,0.36478,0.063308,5076.702325,159,-13.215653,0.413954,1.5,baseline
Strategy3 / Exit Confirmation,CMA-ES,GLD,commodities,15min,train,-5.333362,-26.590005,-26.590005,-7.689398,104.80193,-0.000418,-1.859593,-1.859593,-2.790619,-27.630996,-0.278289,0.413793,0.055946,21256.642506,406,-65.492622,0.424398,1.5,optimized
Strategy3 / Exit Confirmation,CMA-ES,GLD,commodities,15min,validation,14.064742,11.000672,11.000672,13.585831,65.171545,7.925017,6.259723,6.259723,12.105123,-10.027817,1.354814,0.426966,0.03821,3064.070048,89,123.603055,0.476618,1.5,optimized
Strategy3 / Exit Confirmation,CMA-ES,BTCUSDT,crypto,15min,train,66.421235,-63.915835,-63.915835,-23.126476,233.028837,1.467173,0.128214,0.128214,0.286203,-79.183816,-0.292061,0.285999,0.023955,130337.069735,1507,-42.412631,0.327802,4.0,baseline
Strategy3 / Exit Confirmation,CMA-ES,BTCUSDT,crypto,15min,validation,33.932067,2.0806,2.0806,2.545095,110.025717,3.540061,0.72878,0.72878,1.527056,-24.436538,0.104151,0.326087,0.027301,31851.467562,322,6.46149,0.352727,4.0,baseline
Strategy3 / Exit Confirmation,CMA-ES,BTCUSDT,crypto,15min,train,-27.040274,-87.33273,-87.33273,-41.322701,307.548251,0.194962,-0.846971,-0.846971,-1.534083,-94.532804,-0.437126,0.347644,0.011081,60292.455756,955,-91.447885,0.421501,4.0,optimized
Strategy3 / Exit Confirmation,CMA-ES,BTCUSDT,crypto,15min,validation,33.192073,12.12312,12.12312,14.977621,154.910101,4.021572,1.976224,1.976224,3.544526,-26.294012,0.569621,0.447236,0.018059,21068.952885,199,60.920202,0.442246,4.0,optimized
Strategy3 / Exit Confirmation,CMA-ES,AAPL,equities,15min,train,55.052235,39.154692,39.154692,8.915402,63.071358,3.879419,2.900153,2.900153,4.999181,-20.876999,0.427044,0.396084,0.062762,15897.543547,664,58.967909,0.407304,1.0,baseline
